,id,name,lat,lon,frequency_new,frequency_old,frequency_diff
2387,4551,Dickson Interchange Northborne Av,-35.24993,149.134127,0,2664,-0.999624765
2388,4552,Northbourne Av opp Dickson Interchange,-35.250884,149.133404,0,2598,-0.999615237
2390,4558,Northbourne Av before Macarthur Av,-35.261384,149.131704,0,1900,-0.999473961
2396,4566,Northbourne Av Canberra Centre Apartments,-35.274608,149.129513,0,1900,-0.999473961
2389,4557,Northbourne Av after Macarthur Av,-35.261467,149.132253,0,1874,-0.999466667
2395,4565,Northbourne Av Mantra,-35.274151,149.130208,0,1874,-0.999466667
2373,2337,Goyder St opp Caley Cr,-35.339548,149.146235,0,1376,-0.999273784
2400,4750,Federal Hwy opp Phillip Av,-35.235662,149.143859,0,1376,-0.999273784
2372,2336,Goyder St after Caley Cr,-35.339434,149.146222,0,1363,-0.999266862
2399,4749,Federal Hwy after Phillip Av,-35.236714,149.142902,0,1312,-0.999238385
2376,7014,Gungahlin Pl and Valley Av Layover,-35.186874,149.134299,0,1054,-0.999052133
2391,4559,Northbourne Av Fenner Hall,-35.265527,149.131601,0,1038,-0.999037536
2393,4561,Northbourne Av Northbourne Flats,-35.268046,149.13119,0,1038,-0.999037536
2392,4560,Northbourne Av Condamine Court,-35.264568,149.1312,0,1036,-0.99903568
2394,4562,Northbourne Av after Greenway St,-35.267625,149.130692,0,1036,-0.99903568
2651,4554,Northbourne Av Lyneham Flats,-35.253399,149.132999,0,950,-0.998948475
2650,4553,Northbourne Av before Morphett St,-35.252831,149.133652,0,937,-0.998933902
2401,6160,Flemington Rd after Nullarbor Av,-35.200221,149.149284,0,864,-0.998843931
2404,6171,Flemington Road after Manning Clark Cr,-35.193248,149.150806,0,864,-0.998843931
2406,6173,Flemington Road before Geikie St,-35.207799,149.147412,0,864,-0.998843931
2402,6161,Flemington Rd after Nullarbor Av Sth,-35.201498,149.149273,0,836,-0.998805257
2403,6168,Flemington Rd after Hamer St,-35.187082,149.144988,0,836,-0.998805257
2405,6172,Flemington Road after Mapleton Av,-35.194514,149.150939,0,836,-0.998805257
2407,6174,Flemington Rd before Well Station Rd,-35.207556,149.147865,0,836,-0.998805257
2652,4555,Northbourne Av The Pavilion,-35.257677,149.132865,0,519,-0.998076923
2654,4563,Northbourne Av The Marque Hotel,-35.271095,149.130685,0,519,-0.998076923
2656,4567,Northbourne Av after Morphett St,-35.255195,149.133267,0,519,-0.998076923
2653,4556,Northbourne Av Owen Flats,-35.257688,149.132303,0,518,-0.998073218
2655,4564,Northbourne Av ACIL House,-35.270987,149.130176,0,518,-0.998073218
2398,4604,Northbourne Av Yowani Country Club,-35.243388,149.134663,0,512,-0.998050682
2743,6036,Flemington Rd after Sandford St,-35.220104,149.144883,0,482,-0.997929607
2397,4603,Northbourne Av After Swinden St,-35.244881,149.134665,0,476,-0.997903564
2744,6037,Flemington Rd after Lysaght St,-35.217923,149.145372,0,462,-0.997840173
2585,3002,London Cct before East Row,-35.279619,149.130251,0,444,-0.997752809
2755,6169,Flemington Road before 2nd Manning Clarke Cr,-35.187979,149.148408,0,432,-0.997690531
2374,4436,Kingsford Smith Dr opp Verbrugghen St,-35.210692,149.047992,0,426,-0.99765808
2756,6170,Flemington Rd after Wizard St,-35.18817,149.149563,0,418,-0.997613365
2764,9,Athllon Dr opp Centrelink Office,-35.420281,149.065985,0,303,-0.996710526
2371,1907,Carruthers St before Theodore St SSO,-35.331821,149.079279,0,286,-0.996515679
2579,2711,Woden Bus Stn Plt 11,-35.343926,149.08761,0,265,-0.996240602
2602,3405,City Bus Stn Plt 4,-35.278543,149.1301,0,242,-0.995884774
2378,2818,Bielski St after Heseltine St SSO,-35.306556,149.026303,0,236,-0.995780591
2677,4761,Lysaght St after Huddart Ct,-35.215398,149.140055,0,212,-0.995305164
2682,4924,Brookes St after Buckland St,-35.216798,149.14125,0,212,-0.995305164
2683,4926,Brookes St after Sandford St,-35.21901,149.140803,0,212,-0.995305164
2375,6068,Anthony Rolfe Av after Ansett St,-35.186075,149.152334,0,204,-0.995121951
2560,2602,Hindmarsh Dr CIT,-35.349691,149.096894,0,168,-0.99408284
2561,2603,Hindmarsh Dr opp CIT Woden,-35.350157,149.097144,0,164,-0.993939394
2608,3416,King Edward Tce after Bowen Dr,-35.301196,149.134381,0,163,-0.993902439
2607,3415,King Edward Tce before  Bowen Dr,-35.301602,149.135381,0,162,-0.993865031
2562,2608,Lambrigg St after Pudney St Farrer Terminus,-35.380029,149.110632,0,160,-0.99378882
2446,1334,Sternberg Cr after Sitwell St,-35.403546,149.088531,0,159,-0.99375
2445,1333,Sternberg Cr after Mackinnon St,-35.403705,149.088928,0,156,-0.993630573
2586,3134,Mort St before Cooyong St,-35.274885,149.131255,0,144,-0.993103448
2587,3138,Mort St after Girrahween St,-35.2708,149.13191,0,144,-0.993103448
2612,3462,Akuna St before Bunda St,-35.281255,149.133605,0,144,-0.993103448
2627,4169,Alpen St before Clifford Cr,-35.205427,149.061544,0,135,-0.992647059
2592,3318,Canberra Railway Station Kingston,-35.319524,149.148638,0,133,-0.992537313
2628,4170,Alpen St after 2nd Clifford Cr,-35.205469,149.061309,0,132,-0.992481203
2642,4403,Dalley Cr after Box Pl,-35.217233,149.032227,0,131,-0.992424242
2643,4404,Dalley Cr after Macrossan Cr,-35.217204,149.032354,0,131,-0.992424242
2644,4405,Dalley Cr after Inglis Pl,-35.215504,149.029826,0,131,-0.992424242
2645,4406,Macrossan Cr after Dalley Cr,-35.213841,149.028275,0,131,-0.992424242
2646,4407,Macrossan Cr 2nd after Dalley Cr,-35.212922,149.030698,0,131,-0.992424242
2647,4408,Macrossan Cr 3rd after Dalley Cr,-35.21266,149.033503,0,131,-0.992424242
2648,4409,Macrossan Cr after Rudall St,-35.215873,149.034534,0,131,-0.992424242
2762,6302,Mulligans Flat Rd after Mabo Bvd,-35.165034,149.141416,0,130,-0.992366412
2617,4119,William Webb Dr after Owen Dixon Dr,-35.210132,149.081866,0,126,-0.992125984
2619,4121,William Webb Dr before Jeanne Young Cct,-35.211775,149.081382,0,126,-0.992125984
2621,4123,William Webb Dr & Rohan Rivett Cr,-35.213145,149.079089,0,126,-0.992125984
2623,4125,William Webb Dr after Rohan Rivett Cr,-35.21291,149.07657,0,126,-0.992125984
2625,4127,William Webb Dr after Clancy St,-35.213564,149.072974,0,126,-0.992125984
2714,5044,Owen Dixon Dr McKellar Soccer Club,-35.211995,149.08457,0,126,-0.992125984
2719,5058,Curran Dr after McClelland Av South Entry,-35.185411,149.084984,0,126,-0.992125984
2720,5059,Curran Dr before McClelland Av,-35.185496,149.085204,0,126,-0.992125984
2721,5060,Curran Dr 2nd after McClelland Av,-35.18442,149.088765,0,126,-0.992125984
2722,5061,Curran Dr after Temperly St,-35.184571,149.088831,0,126,-0.992125984
2604,3411,Thynne St after Watkins St,-35.2433,149.0983,0,125,-0.992063492
2605,3412,Thynne St after Slowey Pl,-35.239931,149.097245,0,125,-0.992063492
2614,3477,Northcott Dr before Tobruk Rd,-35.290556,149.164434,0,122,-0.991869919
2706,5015,Baldwin Dr after Gum St,-35.217416,149.090335,0,122,-0.991869919
2707,5016,Baldwin Dr after William Slim Dr,-35.217576,149.086788,0,122,-0.991869919
2723,5065,Kelleway Av opp Gold Creek High,-35.180422,149.093187,0,122,-0.991869919
2725,5097,Baldwin Dr before Chuculba Cr,-35.218632,149.096751,0,122,-0.991869919
2737,5177,Baldwin Dr 2nd after Gum St,-35.21729,149.094496,0,122,-0.991869919
2506,1733,Canberra Hospital Palmer St,-35.348012,149.102819,0,121,-0.991803279
2566,2628,Dalrymple St before La Perouse St,-35.339431,149.136658,0,121,-0.991803279
2576,2692,Palmer St before Gilmore Cr,-35.346161,149.103125,0,121,-0.991803279
2567,2629,Dalrymple St before Logan St,-35.338986,149.136359,0,120,-0.991735537
2611,3440,Vowles Cr after Purdie St  Bruce CIT,-35.250052,149.095716,0,120,-0.991735537
2658,4572,Fairfax St after Dryandra St,-35.258816,149.10924,0,120,-0.991735537
2660,4574,Macarthur Av after Todd St,-35.259168,149.116995,0,120,-0.991735537
2662,4576,Macarthur Av after Peel St,-35.259406,149.11915,0,120,-0.991735537
2663,4616,Daley Rd opp Anutech House,-35.273717,149.120515,0,120,-0.991735537
2665,4618,Daley Rd Bruce Hall,-35.274182,149.117323,0,120,-0.991735537
2667,4620,Daley Rd ANU Burton & Garran Hall,-35.275825,149.115906,0,120,-0.991735537
2669,4622,Daley Rd John XXIII CLG,-35.279812,149.114336,0,120,-0.991735537
2671,4624,Garran Rd New Graduate House,-35.282379,149.116332,0,120,-0.991735537
2673,4626,Garran Rd University House,-35.283128,149.119007,0,120,-0.991735537
2693,4974,Calvary Hospital 3rd after Haydon Dr,-35.251862,149.090411,0,120,-0.991735537
2695,4976,Calvary Hospital A&E West Side,-35.252848,149.090918,0,120,-0.991735537
2697,4978,Calvary Hospital Main Entrance,-35.253882,149.089219,0,120,-0.991735537
2603,3408,Thynne St after Paget St,-35.2435,149.0983,0,119,-0.991666667
2606,3414,Thynne St after Lampard Cct,-35.239602,149.096792,0,119,-0.991666667
2503,1662,Sulwood Dr Kambah Fire Station,-35.373368,149.054824,0,118,-0.991596639
2575,2691,Palmer St opp Canberra Hospital,-35.347813,149.102879,0,118,-0.991596639
2577,2693,Palmer St before Dennis St,-35.346393,149.103174,0,118,-0.991596639
2504,1663,Sulwood Dr opp Kambah Fire Station,-35.373409,149.054676,0,116,-0.991452991
2704,5013,Baldwin Dr before William Slim Dr,-35.217644,149.086659,0,116,-0.991452991
2705,5014,Baldwin Dr before Gum St,-35.217511,149.09044,0,116,-0.991452991
2724,5096,Baldwin Dr after Chuculba Cr,-35.218678,149.096617,0,116,-0.991452991
2738,5178,Baldwin Dr 2nd after Chuculba Cr,-35.217408,149.094446,0,116,-0.991452991
2610,3439,Vowels Cr before Purdie St TAFE,-35.250079,149.095924,0,115,-0.99137931
2657,4571,Fairfax St after Belconnen Wy,-35.258587,149.108646,0,115,-0.99137931
2659,4573,Macarthur Av after Miller St,-35.25877,149.116324,0,115,-0.99137931
2661,4575,Macarthur Av after Wonga St,-35.259078,149.119121,0,115,-0.99137931
2664,4617,Daley Rd Anutech House,-35.273674,149.120318,0,115,-0.99137931
2666,4619,Daley Rd opp Bruce Hall,-35.274471,149.117372,0,115,-0.99137931
2668,4621,Daley Rd opp ANU Burton & Garran Hall,-35.275976,149.115986,0,115,-0.99137931
2670,4623,Daley Rd opp John XXIII CLG,-35.279737,149.114476,0,115,-0.99137931
2672,4625,Garran Rd opp New Graduate House,-35.282707,149.117144,0,115,-0.99137931
2674,4627,Garran Rd opp University House,-35.283278,149.119521,0,115,-0.99137931
2692,4973,Mary Potter Cct Calvary Hospital,-35.251682,149.090223,0,115,-0.99137931
2694,4975,Calvary Hospital A&E East Side,-35.252838,149.09109,0,115,-0.99137931
2696,4977,Mary Potter Cct 3rd Calvary Hospital,-35.253913,149.08879,0,115,-0.99137931
2425,1169,Longmore Cr after Angliss Pl,-35.39891,149.099474,0,114,-0.991304348
2476,1484,Longmore Cr after Sainsbury St,-35.388087,149.097982,0,114,-0.991304348
2486,1520,Longmore Cr before Pettit Pl,-35.398917,149.102815,0,114,-0.991304348
2488,1522,Longmore Cr 4th after Gaunson St,-35.397308,149.104157,0,114,-0.991304348
2490,1524,Longmore Cr Backing Sulwood Dr,-35.395366,149.103749,0,114,-0.991304348
2492,1526,Longmore Cr 2nd from Gaunson Cr,-35.392956,149.102092,0,114,-0.991304348
2494,1528,Longmore Cr South of Gaunson Cr,-35.390702,149.100687,0,114,-0.991304348
2675,4717,Shoalhaven Av after Naas Cl,-35.172159,149.124365,0,114,-0.991304348
2676,4719,Shoalhaven Av after Tyenna Cl,-35.170878,149.125393,0,114,-0.991304348
2742,5998,Shoalhaven Av after Katherine Av,-35.168141,149.126831,0,114,-0.991304348
2481,1515,Partridge St after Garrick St,-35.405751,149.113823,0,112,-0.991150442
2483,1517,Partridge St after Bulcock Pl,-35.402653,149.116068,0,112,-0.991150442
2448,1378,Sainsbury St after Sulwood Dr,-35.387174,149.097611,0,110,-0.990990991
2479,1503,Bugden Av after Castleton Cr,-35.414521,149.112863,0,110,-0.990990991
2449,1379,Longmore Cr after Toohey Pl,-35.387158,149.09608,0,108,-0.990825688
2451,1381,Longmore Cr after Methven Pl,-35.387633,149.09367,0,108,-0.990825688
2453,1383,Longmore Cr after Wilkie Pl,-35.38904,149.09116,0,108,-0.990825688
2456,1386,Longmore Cr after Langdon Av,-35.389611,149.088101,0,108,-0.990825688
2616,4106,Owen Dixon Dr opp McKellar Soccer Club,-35.211866,149.084615,0,108,-0.990825688
2618,4120,William Webb Dr before Owen Dixon Dr,-35.210069,149.081801,0,108,-0.990825688
2620,4122,William Webb Dr after 2nd Rohan Rivett Cr,-35.211561,149.081357,0,108,-0.990825688
2622,4124,William Webb Dr after 2nd Sproule Cct,-35.213063,149.079127,0,108,-0.990825688
2624,4126,William Webb Dr after Sproule Cct,-35.212829,149.076642,0,108,-0.990825688
2626,4128,William Webb Dr after Dumas St,-35.21333,149.073188,0,108,-0.990825688
2431,1309,Livingston Av after Cutbush St,-35.389587,149.079211,0,107,-0.990740741
2433,1311,Livingston Av after Maxworthy St,-35.388111,149.081109,0,107,-0.990740741
2436,1314,Livingston Av after Atkins St,-35.387805,149.084126,0,107,-0.990740741
2437,1315,Atkins St after Athllon Dr,-35.388238,149.085723,0,107,-0.990740741
2457,1387,Vosper St after Livingston Av,-35.391073,149.078705,0,107,-0.990740741
2450,1380,Longmore Cr after Bosisto Pl,-35.38734,149.096296,0,106,-0.990654206
2452,1382,Longmore Cr 2nd after Sainsbury St,-35.387847,149.093518,0,106,-0.990654206
2454,1384,Longmore Cr after Strachan Pl,-35.389167,149.090785,0,106,-0.990654206
2455,1385,Longmore Cr after Lobb Pl,-35.389769,149.087979,0,106,-0.990654206
2459,1391,Newman-Morris Cct after McIlveen Pl,-35.411886,149.081741,0,106,-0.990654206
2461,1393,Newman-Morris Cct after Raphael Cl,-35.410218,149.083609,0,106,-0.990654206
2463,1395,Newman-Morris Cct after Farrelly Cl,-35.408348,149.082194,0,106,-0.990654206
2465,1397,Newman-Morris Cct 2nd before Farrelly Cl,-35.406722,149.079582,0,106,-0.990654206
2467,1399,Newman-Morris Cct after Forlonge St,-35.40672,149.077534,0,106,-0.990654206
2746,6063,Moonlight Av after Anthony Rolfe Av,-35.186315,149.154796,0,106,-0.990654206
2748,6065,Moonlight Av after Redbank St,-35.189154,149.155175,0,106,-0.990654206
2750,6067,Moonlight Av after Osprey St,-35.190657,149.152965,0,106,-0.990654206
2761,6198,Horse Park Dr after Mapleton Av,-35.189983,149.16001,0,106,-0.990654206
