,id,name,lat,lon,fequency
0,201,Fremantle Dr after 1st McKail Cr,-35.347043,149.047943,444
1,300,Ainslie PS Donaldson St,-35.27362,149.140829,465
2,401,MacFarlane Burnet Av after 1st Eccles Cct,-35.216085,149.002982,891
3,402,MacFarlane Burnet Av before Hollows Cct,-35.212835999999996,149.004189,891
4,403,MacFarlane Burnet Av after Hollows Cct,-35.212665,149.00401599999998,891
5,404,MacFarlane Burnet Av before De Gruchy Pl,-35.216072,149.003355,891
6,405,MacFarlane Burnet Av after Constance Stone St,-35.209343,149.00322,891
7,406,MacFarlane Burnet Av opp Constance Stone St,-35.209295000000004,149.002975,891
8,600,O'Hanlon Pl after Gold Creek Rd,-35.192122,149.08597,720
9,601,O'Hanlon Pl before Gold Creek Rd,-35.192143,149.08607,760
10,1001,Drumston St opp MacKillop College,-35.426111999999996,149.091607,785
11,1002,Mackillop College Drumston St,-35.425974,149.091709,750
12,1007,Ellerston Av opp Isabella Plains Shops,-35.427862,149.091027,807
13,1008,Isabella Plains Shops Ellerston Av,-35.427477,149.09142,796
14,1009,Mackillop College Ellerston Av,-35.425653999999994,149.095483,391
15,1010,Ellerston Av opp Mackillop College,-35.425764,149.095466,415
16,1011,Ellerston Av before 1st Abercorn Cr,-35.426368,149.09800800000002,391
17,1012,Ellerston Av opp 2nd Abercorn Cr,-35.426603,149.09811399999998,415
18,1013,Ellerston Av before 2nd Abercorn Cr,-35.428486,149.10062299999998,391
19,1014,Ellerston Av before 2nd Groveland Cr,-35.428391,149.10036000000002,415
20,1015,Ellerston Av before Ashley Dr,-35.42879,149.10288899999998,391
21,1016,Ellerston Av after Ashley Dr,-35.428922,149.102838,415
22,1017,Calwell Shops Webber Cr,-35.435094,149.113745,2417
23,1018,Boddington Cr after Bacchus Cct,-35.379387,149.05488300000002,189
24,1019,Casey Cr before Carpenter Cl,-35.436661,149.11129,480
25,1020,Casey Cr opp Carpenter Cl,-35.436859000000005,149.110846,468
26,1027,Duggan St after Downard St,-35.439864,149.098624,466
27,1028,Duggan St after Beckett St,-35.439836,149.098479,477
28,1029,Duggan St before 1st Pennington Cr,-35.441602,149.100907,477
29,1030,Duggan St before 2nd Andrew Cr,-35.441603,149.101116,466
30,1031,Tharwa Dr after Duggan St,-35.444823,149.10572,465
31,1032,Tharwa Dr before Duggan St,-35.444455,149.103996,476
32,1033,Lawrence Wackett Cr opp Theodore PS,-35.447275,149.12461299999998,479
33,1034,Theodore PS Lawrence Wackett Cr,-35.447346,149.12448700000002,470
34,1035,Lawrence Wackett Cr after 1st Burdett Cr,-35.449867,149.12256599999998,468
35,1036,Lawrence Wackett Cr before Chippindall Cct,-35.450002000000005,149.122491,479
36,1037,Chippindall Cct opp Goldfinch Cct,-35.450823,149.120097,468
37,1038,Chippindall Cct after Latchford St,-35.450720000000004,149.120304,479
38,1044,Hurtle Av after 1st Noarlunga Cr,-35.434802000000005,149.086149,724
39,1045,Hurtle Av opp 2nd Noarlunga Cr,-35.434726,149.085969,697
40,1046,Barr Smith Av after Salas St,-35.42673,149.074178,809
41,1047,Barr Smith Av after Don Dunstan Dr,-35.426899,149.074185,828
42,1052,Barr Smith Av opp Hurtle Av,-35.431101,149.08000800000002,809
43,1053,Barr Smith Av after Hurtle Av,-35.431263,149.08006,828
44,1054,Hurtle Av opp Ebenezer St,-35.434405,149.08358700000002,697
45,1055,Hurtle Av after Ebenezer St,-35.433937,149.08288100000001,724
46,1056,Hurtle Av opp Bonython PS,-35.432126000000004,149.08231,724
47,1057,Bonython PS Hurtle Av,-35.431441,149.082295,697
48,1059,Homeworld Soward Way,-35.418682000000004,149.067883,4787
49,1060,Boddington Cr before Reynell Pl,-35.379517,149.055117,124
50,1061,Soward Way after Anketell St,-35.417271,149.070695,2373
51,1062,Soward Way before Anketell St,-35.417379,149.070745,2413
52,1063,Tuggeranong Bus Depot Scollay St,-35.422657,149.06973,890
53,1064,Scollay St opp Tuggeranong Bus Depot,-35.421808,149.069227,871
54,1065,Anketell St before Oakden St,-35.422697,149.072912,933
55,1066,Anketell St before Athllon Dr,-35.423711,149.07387,906
56,1067,Anketell St opp Tuggeranong Square,-35.419798,149.070847,918
57,1068,Tuggeranong Square Anketell St,-35.419976,149.070832,933
58,1069,Ellerston Av before Noorooma St,-35.430392,149.08816000000002,596
59,1070,Ellerston Av opp Noorooma St,-35.430127,149.088257,579
60,1071,Ellerston Av after Keverstone Cct,-35.431594,149.088799,596
61,1072,Ellerston Av opp Keverstone Cct,-35.431554999999996,149.088905,579
